n_customers,n_depots,avg_demand,demand_std,capacity,area_span,density,iteration,progress,best_fitness,avg_fitness,fitness_std,convergence_rate,stagnation_counter,population_diversity,dynamic_orders,avg_delay,load_imbalance,elite_ratio,improvement_rate,instance,algorithm,demo_id,alpha,beta,gamma,fitness_after,improvement
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,30,0.3,1493.3029987633386,1675.9414818208456,84.44192444924245,0.028441704334691186,5,2.2003565432897148,0,0,0,0.35,0.0,A-n32-k5,random_search,0,0.3212052461229342,0.2757028989087684,0.4515455504741955,1264.9730172037287,228.3299815596099
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,40,0.4,1568.6366251292013,1673.5613221660847,67.49689278601907,0.021751472462159242,7,2.4915162356920173,0,0,0,0.7,0.0,A-n32-k5,random_search,1,0.8576702847320198,0.42081047473183,0.8136496275475489,1392.9002337745765,175.73639135462486
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,10,0.1,1661.6919454724423,1778.5627939063365,65.09390735975174,0.0995561992181645,0,2.5261538999881634,0,0,0,0.8,0.01826380521054748,A-n32-k5,random_search,2,0.2542091369050642,0.45162033905376303,0.39918658854055666,1317.9086262081112,343.7833192643311
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,90,0.9,1326.9310930314527,1589.194486393739,87.45111934435006,0.0042629895034667605,5,2.1778810448724615,0,0,0,0.05,0.0,A-n32-k5,random_search,3,0.475761440955769,0.28613887991703973,0.9939776759568741,1313.9038630840605,13.027229947392243
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,90,0.9,1258.7253064426818,1525.6601266573896,119.495450741857,0.0,19,2.1191430886405245,0,0,0,0.15,0.0,A-n32-k5,random_search,4,0.5057703227797905,0.4584518632000519,0.3058160865593758,1209.3926754518084,49.33263099087344
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,80,0.8,1462.3717481328763,1615.5442359776425,88.24072862762105,0.0011814589900682997,6,2.3290483793028587,0,0,0,0.4,0.0,A-n32-k5,random_search,5,0.30214374941976435,0.515502904850468,0.36062891674450326,1305.2905485194708,157.0811996134055
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,5,0.05,1760.4861502653603,1863.4409808910918,57.06174456147088,0.0,2,2.481095988074305,0,0,0,0.9,0.030924944387046963,A-n32-k5,random_search,6,0.19708464718697583,0.2521856711902358,0.8640781871264789,1353.5285617035881,406.9575885617721
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,80,0.8,1412.787854008038,1571.5412579648041,92.42818965897901,0.0,19,2.3151538023179628,0,0,0,0.5,0.0,A-n32-k5,random_search,7,0.5489125146255124,0.5169511751532573,0.4482815945670082,1362.0135119553247,50.77434205271334
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,90,0.9,1356.958371337311,1576.5462355707102,75.21649311270487,0.0,19,2.204538240419442,0,0,0,0.15,0.0,A-n32-k5,random_search,8,0.1016283023631484,0.2809238329641315,0.44127558997583194,1345.7075769233809,11.25079441393018
31,1,13.225806451612904,7.137857623013364,100,97.0,0.0034009990434690192,60,0.6,1379.34369012403,1560.1221145244076,86.92162668873219,0.0,19,2.49816195766197,0,0,0,0.3,0.0,A-n32-k5,random_search,9,0.16409776610457227,0.5574583241478118,0.9062349837189869,1356.1863864161223,23.15730370790766
