instance,algorithm,demo_id,iteration,n_customers,n_depots,avg_demand,demand_std,capacity,area_span,density,progress,best_fitness,avg_fitness,fitness_std,convergence_rate,stagnation_counter,population_diversity,elite_ratio,improvement_rate,dynamic_orders,avg_delay,load_imbalance,alpha,beta,gamma,improvement,fitness_after
P-n16-k8,pso,0,0,15,1,16.4,8.138795979750322,35,100,0.01,0.0,1000.0,1000.0,100.0,0.0,0,0.5,0.1,0,0,0,0,0.1,0.8,0.3,0.0,475.7724340103465
P-n16-k8,pso,0,1,15,1,16.4,8.138795979750322,35,100,0.01,0.02,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.116,0.788,0.316,0.0,475.7724340103465
P-n16-k8,pso,0,2,15,1,16.4,8.138795979750322,35,100,0.01,0.04,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.132,0.776,0.33199999999999996,0.0,475.7724340103465
P-n16-k8,pso,0,3,15,1,16.4,8.138795979750322,35,100,0.01,0.06,475.7724340103465,475.77243401034656,100.0,0.0,0,0.5,0.1,0,0,0,0,0.14800000000000002,0.764,0.348,0.0,475.7724340103465
P-n16-k8,pso,0,4,15,1,16.4,8.138795979750322,35,100,0.01,0.08,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.164,0.752,0.364,0.0,475.7724340103465
P-n16-k8,pso,0,5,15,1,16.4,8.138795979750322,35,100,0.01,0.1,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.18000000000000002,0.74,0.38,0.0,475.7724340103465
P-n16-k8,pso,0,6,15,1,16.4,8.138795979750322,35,100,0.01,0.12,475.7724340103465,475.77243401034644,100.0,0.0,0,0.5,0.1,0,0,0,0,0.196,0.7280000000000001,0.396,0.0,475.7724340103465
P-n16-k8,pso,0,7,15,1,16.4,8.138795979750322,35,100,0.01,0.14,475.7724340103465,475.77243401034644,100.0,0.0,0,0.5,0.1,0,0,0,0,0.21200000000000002,0.7160000000000001,0.41200000000000003,0.0,475.7724340103465
P-n16-k8,pso,0,8,15,1,16.4,8.138795979750322,35,100,0.01,0.16,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.228,0.7040000000000001,0.42800000000000005,0.0,475.7724340103465
P-n16-k8,pso,0,9,15,1,16.4,8.138795979750322,35,100,0.01,0.18,475.7724340103465,475.77243401034656,100.0,0.0,0,0.5,0.1,0,0,0,0,0.244,0.6920000000000001,0.44399999999999995,0.0,475.7724340103465
P-n16-k8,pso,0,10,15,1,16.4,8.138795979750322,35,100,0.01,0.2,475.7724340103465,475.77243401034656,100.0,0.0,0,0.5,0.1,0,0,0,0,0.26,0.68,0.46,0.0,475.7724340103465
P-n16-k8,pso,0,11,15,1,16.4,8.138795979750322,35,100,0.01,0.22,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,10,0.5,0.1,0,0,0,0,0.276,0.668,0.476,0.0,475.7724340103465
P-n16-k8,pso,0,12,15,1,16.4,8.138795979750322,35,100,0.01,0.24,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,11,0.5,0.1,0,0,0,0,0.29200000000000004,0.656,0.492,0.0,475.7724340103465
P-n16-k8,pso,0,13,15,1,16.4,8.138795979750322,35,100,0.01,0.26,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,12,0.5,0.1,0,0,0,0,0.30800000000000005,0.644,0.508,0.0,475.7724340103465
P-n16-k8,pso,0,14,15,1,16.4,8.138795979750322,35,100,0.01,0.28,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,13,0.5,0.1,0,0,0,0,0.32400000000000007,0.632,0.524,0.0,475.7724340103465
P-n16-k8,pso,0,15,15,1,16.4,8.138795979750322,35,100,0.01,0.3,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,14,0.5,0.1,0,0,0,0,0.33999999999999997,0.6200000000000001,0.54,0.0,475.7724340103465
P-n16-k8,pso,0,16,15,1,16.4,8.138795979750322,35,100,0.01,0.32,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,15,0.5,0.1,0,0,0,0,0.356,0.6080000000000001,0.556,0.0,475.7724340103465
P-n16-k8,pso,0,17,15,1,16.4,8.138795979750322,35,100,0.01,0.34,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,16,0.5,0.1,0,0,0,0,0.372,0.5960000000000001,0.5720000000000001,0.0,475.7724340103465
