Algorithm,Instance,Best
HOA,P-n16-k8,460.5
HOA,P-n16-k8,458.3
HOA,P-n16-k8,462.1
HOA,E-n22-k4,382.4
HOA,E-n22-k4,385.2
HOA,E-n22-k4,381.9
FOA,P-n16-k8,455.2
FOA,P-n16-k8,453.8
FOA,P-n16-k8,456.7
FOA,E-n22-k4,378.5
FOA,E-n22-k4,379.2
FOA,E-n22-k4,377.8
EGTO,P-n16-k8,451.3
EGTO,P-n16-k8,450.8
EGTO,P-n16-k8,452.1
EGTO,E-n22-k4,376.2
EGTO,E-n22-k4,375.8
EGTO,E-n22-k4,376.5
WOA,P-n16-k8,465.8
WOA,P-n16-k8,467.2
WOA,P-n16-k8,466.5
WOA,E-n22-k4,388.1
WOA,E-n22-k4,389.5
WOA,E-n22-k4,387.8
HHO,P-n16-k8,458.9
HHO,P-n16-k8,459.5
HHO,P-n16-k8,457.8
HHO,E-n22-k4,380.5
HHO,E-n22-k4,381.2
HHO,E-n22-k4,380.9
